path,magic_numbers,sample
Assets/Core/ParallaxBackground/ParallaxLayer.cs,6,"2f, 10f, 10f, 0.001f, 10f, 0.001f"
Assets/Demos/FunctionDev/Sonar/SonarWaveController.cs,5,"0.5f, 1f, 2f, 0f, 0f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeRandomData.cs,5,"0.2f, 5f, 5f, 5f, 5f"
Assets/Core/Logger/LogSystem.cs,5,"0.8f, 0.8f, 0.7f, 0.8f, 10000"
Assets/Core/GameCoreSystems/LoadingSplash/VgDefaultSplasher.cs,5,"0f, 1f, 1f, 0f, 0.5f"
Assets/Core/GameCoreSystems/LoadingSplash/VgDissolveSplasher.cs,5,"0f, 1f, 1f, 0f, 0.6f"
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.StateCheck.cs,4,"1.0f, 0.5f, 1.0f, 0.5f"
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerCollisionCapability.cs,4,"5, 0.0f, 5, 0.001f"
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerJumpCapability.cs,4,"0f, 0f, 0f, 0f"
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkLevelNeighborProcessor.cs,4,"11, 1f, 1f, 1000f"
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/LDtkEntity.cs,4,"999, 999, 0.5f, 0.5f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrapplingHook/GrapplingRope.cs,4,"1f, 0.01f, 1f, 1f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerGrapplingHook/Spring.cs,4,"1f, 1f, 0f, 0f"
Assets/Core/ParallaxBackground/ParallaxBackground.cs,4,"0f, 3, 1.5f, 3f"
Assets/Rendering/RainRust/RenderPasses/RainRustDrawObjectsPass.cs,3,"3, 4, 3"
Assets/GameMain/Scripts/RunTime/UI/PauseMenuController.cs,3,"0f, 1f, 1f"
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.Anim.cs,3,"0.5f, 0.5f, 0.5f"
