path,field,rule
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelRoom.cs,_neighbors,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineDash.cs,DashPlayerOffsetPos,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineDash.cs,DashDir,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,mPCComponent,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,mBoxCollision,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,IsOnGround,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,IsJumping,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,InputJump,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,InputAct,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,JumpSpeedY,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,JumpBoostSpeedX,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,MinJumpTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,MaxJumpTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,PreJumpInputTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,CoyoteJumpInputTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,MaxSpeedX,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlCapabilityBase.cs,AccX,private/protected/internal field should start with m_
