guid,asset_path,references,referencing_files
bbb281ee3bf0b054c82ac2347e9e782c,(external or package),5,5
172515602e62fb746b5d573b38a5fe58,(external or package),4,4
a86470a33a6bf42c4b3595704624658b,(external or package),4,2
990d5e6512cc9054c91148f0e659be88,Assets/Demos/FunctionDev/Background/pics/能源核心1.png,4,1
130ab3f036c244344a384df4af25a421,Assets/Demos/FunctionDev/Background/pics/能源核心5.png,4,1
362f82f0361d62e4a829b7995f0576e5,Assets/Demos/FunctionDev/Background/pics/能源核心3.png,4,1
e6c4edf24174bcd48ac9d9f26c66d64f,Assets/Demos/FunctionDev/Background/pics/能源核心9.png,4,1
f21b22f3d57cae542baecd2c27addec7,Assets/Demos/FunctionDev/Background/pics/能源核心8.png,4,1
7e3166aaccd54954988045e81144d5e6,Assets/Demos/FunctionDev/Background/pics/能源核心2.png,4,1
bfae24346abc5d944b98d4e114439125,Assets/Demos/FunctionDev/Background/pics/能源核心6.png,4,1
b4778eac288cd5e44baa081c3a92ca16,Assets/Demos/FunctionDev/Background/pics/能源核心7.png,4,1
871c76b6ace2f1945aa421a30e7d3d15,Assets/Demos/FunctionDev/Background/pics/能源核心4.png,4,1
8f586378b4e144a9851e7b34d9b748ee,Assets/TextMesh Pro/Resources/Fonts & Materials/LiberationSans SDF.asset,4,1
0c2943e682621ca468e5515265826771,Assets/GameMain/Rendering/Material/material_dot2.mat,4,3
f1463cc71e1383946b2e99b7fec4a01b,(external or package),4,1
0b2db86121404754db890f4c8dfe81b2,Packages/com.unity.render-pipelines.universal/Runtime/Overrides/Bloom.cs,4,4
e819770822a816141b8e8be79a3c1461,Assets/Core/GameCoreSystems/Audio/AudioEventSheet.cs,4,4
f6df0fb241212c74da4b26d2f7e749fb,Assets/GameMain/Scenes/Develop/GameLevel1/volume Profile.asset,3,3
e58c404f6fb0e3643871d0b1aae3d3fe,(external or package),3,3
5d06e5bda49cf494da21722b8da32156,(external or package),3,3
34a7fcde8d66fbb46a289a120756c7ad,(external or package),3,3
afb927d46f5d5444288a898035d52108,(external or package),3,3
86c6556701af9e04380698b89f691b6e,Assets/Plugins/FMOD/src/StudioListener.cs,3,3
8f67b91b72595414db8afef89ae8d240,Assets/GameMain/Rendering/Material/material_rainrust_light.mat,3,3
3787a1eb7822dad4a979a88fbc2790a8,Assets/Rendering/RainRust/Materials/material_rainRust_player.mat,3,3
356f22d66339bcc48b42794eeb51e532,Assets/Rendering/RainRust/Materials/material_sonar_default.mat,3,2
31321ba15b8f8eb4c954353edc038b1d,Packages/com.unity.render-pipelines.universal/Runtime/Materials/Lit.mat,3,3
665b9594aaaa644e68ced14d62c425e8,Assets/Core/GameCore/GameCore.cs,3,2
2250be956b6f9bb4ba8d6da276073edd,Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeMainControl.cs,3,3
8711b9abac7234145ab1baa36d298953,Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeAnim.cs,3,3
f1ba7780cb414e14da51381fde411dac,Assets/GameMain/Scripts/RunTime/GamePlay/Entities/LightThing/LightEntitySet.cs,3,3
12947b5f627f2284fa870eaf561e2504,Assets/Rendering/RainRust/Materials/Crt.mat,3,3
cf852408f2e174538bcd9b7fda1c5ae7,Packages/com.unity.render-pipelines.universal/Shaders/Debug/DebugReplacement.shader,3,3
573620ae32aec764abd4d728906d2587,Packages/com.unity.render-pipelines.universal/Shaders/Debug/HDRDebugView.shader,3,3
53626a513ea68ce47b59dc1299fe3959,Packages/com.unity.render-pipelines.universal/Shaders/Debug/ProbeVolumeSamplingDebugPositionNormal.compute,3,3
9c4067e4e9dc4483f8164d5d36b6e2c5,(external or package),3,1
17ab5c2cbc9164493af24ddf6623cd86,Assets/AddressableAssetsData/AssetGroups/Test.asset,3,3
3b6d1a96d955f44d18bc497d52a2277a,Assets/AddressableAssetsData/AssetGroups/Level1.asset,3,3
f82958f200f8b4aeb8201dbc76b3b018,Assets/AddressableAssetsData/AssetGroups/Level2.asset,3,3
da5c98e2fa2744374b916b064999b659,Assets/AddressableAssetsData/AssetGroups/Common.asset,3,3
4ae1ca2bdc1984585b33ef0403cc49e2,(external or package),3,3
899c54efeace73346a0a16faa3afe726,Packages/com.unity.render-pipelines.universal/Runtime/Overrides/Vignette.cs,3,3
07279bf387dc26547896c8af18118dc2,Assets/Shaders/SpriteBlur/SpriteBlur.shader,2,1
977e823fea8529c44a0c96c480854abc,Assets/Demos/FunctionDev/AbTile/demo_abtile_tile_newAbTile.Asset,2,2
5f784b7e299739f4bbddb59941e72de9,Assets/GameMain/Scripts/RunTime/UI/SuperText/EffectTextRenderer.cs,2,1
f4688fdb7df04437aeb418b961361dc5,(external or package),2,1
76c392e42b5098c458856cdf6ecaaaa1,(external or package),2,2
dc42784cf147c0c48a680349fa168899,(external or package),2,2
0cd44c1031e13a943bb63640046fad76,(external or package),2,2
a0477cb1b7124054096ff986c6718ea2,Assets/GameMain/Scripts/RunTime/UI/MainMenuController.cs,2,2
3fcd1e8e8c7eb9f42a8bacd336026469,Assets/GameMain/Rendering/Material/material_rainrust_wall.mat,2,1
f028cf6307cc50648807f2de6f79ae1b,Assets/GameMain/Rendering/Material/material_flare.mat,2,2
f625fc932515a438798036a41f7d1412,Assets/Core/GameCoreSystems/Scene/VgSceneManager.cs,2,2
a53ccb4594612354698a082f424729ed,Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelManager.cs,2,2
