path,last_commit,first_commit,days_since_last_commit
Assets/UniversalRenderPipelineGlobalSettings.asset.meta,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins/ConsolePro/Editor.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
Assets/Plugins/ConsolePro/Editor Console Pro Documentation.pdf.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/TimeManager.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins/ConsolePro.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
Assets/Plugins/ConsolePro/Remote/RemoteServer.zip.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
Assets/Plugins/ConsolePro/Editor/ConsolePro.Editor.dll.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/XRSettings.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
ProjectSettings/CommonBurstAotSettings.json,2025-06-17T00:30:24+08:00,2025-06-16T20:51:27+08:00,366
ProjectSettings/UnityConnectSettings.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
ProjectSettings/PresetManager.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins/ConsolePro/Editor Console Pro Documentation.pdf,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
Assets/Plugins/ConsolePro/ConsoleProDebug.cs.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/NavMeshAreas.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/MemorySettings.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins/ConsolePro/Remote.meta,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
Assets/Plugins/ConsolePro/Editor/ConsolePro.Editor.dll,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/VersionControlSettings.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
Assets/Plugins/ConsolePro/Remote/RemoteServer.zip,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,366
ProjectSettings/ClusterInputManager.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
ProjectSettings/DynamicsManager.asset,2025-06-16T20:51:27+08:00,2025-06-16T20:51:27+08:00,366
