path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Unity.cs,42.72,94,9,98,2,0,0,0,0
Assets/GameMain/Scripts/RunTime/InitInvoker/FastLevelTestInvoker.cs,42.67,52,4,104,4,0,5,0,0
Assets/Core/Common/StateMachine/StateMapping.cs,41.9,36,1,36,1,0,8,0,0
Assets/GameMain/Scripts/RunTime/ConsoleUtils/InvokeEvent.cs,40.95,54,6,54,1,0,0,3,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerDeAccelerateCapability.cs,40.75,122,15,126,2,0,0,0,1
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineWhistle.cs,40.36,83,13,97,4,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerControlComponent.Anim.cs,39.92,67,14,69,3,0,0,0,3
Assets/GameMain/Scripts/RunTime/Commands/InitInvoker/InitInvokerCommands.cs,39.85,158,11,378,3,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/PlayerStMachineDeath.cs,39.73,122,11,148,4,0,0,0,1
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Effect/EffectPoolManager.cs,38.98,99,5,99,1,0,3,0,2
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/SnakeHoney.cs,38.71,115,10,115,2,0,2,0,0
Assets/Rendering/RainRust/RenderPasses/RainRustDistancePass.cs,38.53,64,5,88,3,0,4,0,1
Assets/Editor/BuildScripts/GitVersionProcessor.cs,38.1,120,11,132,2,0,1,0,2
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/LevelRoom.cs,36.9,72,4,132,3,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/CameraOverride/CameraOverrideArea.cs,36.83,93,5,93,2,0,0,1,14
Assets/Core/GameCore/GameCore.UnityLifeCycles.cs,36.67,40,2,248,7,1,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.Events.cs,36.18,58,1,58,1,0,7,0,0
Assets/Core/GameCoreSystems/Audio/Entry/StringManagedAudioEntry.cs,34.62,82,4,86,2,0,2,1,1
Assets/Core/GameCore/GameCore.cs,34.43,43,5,201,7,0,0,0,1
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/PlayerManager.cs,34.29,63,7,65,2,0,1,0,0
Assets/Core/GameCoreSystems/Audio/Entry/SetParameterFromEventEntry.cs,33.98,34,5,34,1,0,1,2,0
Assets/Core/GameCoreSystems/Scene/SceneLoader.cs,33.69,125,13,125,1,0,0,0,0
Assets/GameMain/Scripts/Editor/Tools/RecursiveMaterialSetter.cs,33.01,79,6,79,2,0,2,0,6
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,32.86,65,1,73,2,0,0,0,2
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/MisteryFog/MisteryFog.cs,32.77,75,9,75,1,0,0,1,2
Assets/Core/Input/InputSettings.cs,31.29,35,2,41,2,0,4,0,6
Assets/Core/Extensions/GameObjectExtension.cs,31.29,73,10,77,3,0,0,0,0
Assets/Core/Mono/MonoSingletonPersistent.cs,31.25,58,6,66,3,0,0,1,0
Assets/GameMain/Scripts/Editor/Level/LDtkPostProcessor/LDtkVolumGenProcessor.cs,31.23,93,9,93,2,0,0,0,6
Assets/GameMain/Scripts/RunTime/GamePlay/SnakeGame/PlayerSnakeSaveData.cs,30.08,22,1,22,1,0,6,0,0
Assets/Core/GameCoreSystems/Audio/Entry/Audio3DAudioEntry.cs,29.98,34,5,34,1,0,0,2,0
