from,to,from_path
Test.PlayMode,UnityEngine.TestRunner,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.PlayMode,UnityEditor.TestRunner,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.PlayMode,Core,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.PlayMode,GameMain.RunTime,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.PlayMode,GameMain.LDtk,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.PlayMode,GameMain.RunTime.ConsoleUtilities,Assets/Tests/PlayMode/Test.PlayMode.asmdef
Test.Editor,198f161f050714b85981e87f526d009e,Assets/Tests/Editor/Test.Editor.asmdef
Test.Editor,5f34f4219be7446d99f83220acdaa345,Assets/Tests/Editor/Test.Editor.asmdef
Test.Editor,UnityEngine.TestRunner,Assets/Tests/Editor/Test.Editor.asmdef
Test.Editor,UnityEditor.TestRunner,Assets/Tests/Editor/Test.Editor.asmdef
Test.Editor,R3.Unity,Assets/Tests/Editor/Test.Editor.asmdef
Test.Editor,Newtonsoft.Json,Assets/Tests/Editor/Test.Editor.asmdef
FMODUnity,Unity.Timeline,Assets/Plugins/FMOD/FMODUnity.asmdef
FMODUnity,Unity.Addressables,Assets/Plugins/FMOD/FMODUnity.asmdef
FMODUnity,Unity.ResourceManager,Assets/Plugins/FMOD/FMODUnity.asmdef
FMODUnity,Unity.RenderPipelines.Universal.Runtime,Assets/Plugins/FMOD/FMODUnity.asmdef
IngameDebugConsole.Runtime,Unity.InputSystem,Assets/Plugins/IngameDebugConsole/IngameDebugConsole.Runtime.asmdef
IngameDebugConsole.Runtime,Unity.TextMeshPro,Assets/Plugins/IngameDebugConsole/IngameDebugConsole.Runtime.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Unity.Addressables,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Unity.Addressables.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.Serialization,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.OdinInspector.Attributes,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.OdinInspector.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.Utilities.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.Utilities,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.Unity.Addressables,Sirenix.OdinValidator.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Addressables/Sirenix.OdinInspector.Modules.Unity.Addressables.asmdef
Sirenix.OdinInspector.Modules.UnityMathematics,Unity.Mathematics,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics/Sirenix.OdinInspector.Modules.UnityMathematics.asmdef
Sirenix.OdinInspector.Modules.UnityMathematics,Sirenix.OdinInspector.Attributes,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics/Sirenix.OdinInspector.Modules.UnityMathematics.asmdef
Sirenix.OdinInspector.Modules.UnityMathematics,Sirenix.OdinInspector.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics/Sirenix.OdinInspector.Modules.UnityMathematics.asmdef
Sirenix.OdinInspector.Modules.UnityMathematics,Sirenix.Utilities,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics/Sirenix.OdinInspector.Modules.UnityMathematics.asmdef
Sirenix.OdinInspector.Modules.UnityMathematics,Sirenix.Utilities.Editor,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Mathematics/Sirenix.OdinInspector.Modules.UnityMathematics.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization,Unity.Localization,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Runtime/Sirenix.OdinInspector.Modules.UnityLocalization.asmdef
Sirenix.OdinInspector.Modules.UnityLocalization,Sirenix.Serialization,Assets/Plugins/Sirenix/Odin Inspector/Modules/Unity.Localization/Runtime/Sirenix.OdinInspector.Modules.UnityLocalization.asmdef
