path,line,text
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,1290,/// TODO RENDERGRAPH
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,1372,// TODO: move skybox code from C++ to URP in order to remove the call to context.Submit() inside DrawSkyboxPass
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,1454,// TODO: Separate command buffers per pass break the profiling scope order/hierarchy.
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,1487,// TODO: Separate command buffers per pass break the profiling scope order/hierarchy.
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,1777,// TODO: Separate command buffers per pass break the profiling scope order/hierarchy.
Packages/com.unity.render-pipelines.universal/Runtime/ScriptableRenderer.cs,2055,// TODO: We should implement filtering fully in SRP to remove builtin dependencies
Packages/com.unity.render-pipelines.universal/Runtime/NoAllocUtils.cs,35,// TODO: parallel alternative
Packages/com.unity.render-pipelines.universal/Runtime/ShadowUtils.cs,430,// TODO: depth and normal bias assume sample is no more than 1 texel away from shadowmap
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,834,// TODO: Transparents might have force Z write option in the future.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,883,"// TODO: investigate the order of call, had to change because of requiresRenderingLayer"
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,889,"// TODO: This needs to be setup early, otherwise gbuffer attachments will be allocated with wrong size"
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,922,// TODO: We could cache and generate the LUT before rendering the stack
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1000,"// around a bug where during gbuffer pass (MRT pass), the camera depth attachment is correctly bound, but during"
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1009,// Todo seems like with mrt depth is not taken from first target
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1321,"// TODO: this is unoptimal, investigate optimizations"
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1443,// TODO: Downsampling method should be stored in the renderer instead of in the asset.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1757,// TODO: PerObjectCulling also affect reflection probes. Enabling it for now.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderer.cs,1837,//Must copy depth for deferred shading: TODO wait for API fix to bind depth texture as read-only resource.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,794,public float radius; // TODO remove? included in attenuation
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,1038,// TODO: Move following keywords to Local keywords?
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,1565,"// TODO: we need a proper format scoring system. Score formats, sort, pick first or pick first supported (if not in score)."
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,2006,"// TODO: refine the logic to provide platform abstraction. Eg, we should divide platforms based on capabilities and perf budget."
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,2007,// TODO: isXRMobile is a bad category. Alignment and refactor needed.
Packages/com.unity.render-pipelines.universal/Runtime/UniversalRenderPipelineCore.cs,2008,"// TODO: Compress all the query data into ""isXRMobile"" style booleans and enums."
Packages/com.unity.render-pipelines.universal/Runtime/LightCookieManager.cs,24,// TODO: these should be generic light property
Packages/com.unity.render-pipelines.universal/Runtime/LightCookieManager.cs,168,ComputeBuffer m_WorldToLightBuffer;    // TODO: WorldToLight matrices should be general property of lights!!
Packages/com.unity.render-pipelines.universal/Runtime/LightCookieManager.cs,272,// TODO: replace with a proper error system
Packages/com.unity.render-pipelines.universal/Runtime/LightCookieManager.cs,401,// TODO: convert this to use GraphicsFormatUtility
Packages/com.unity.render-pipelines.universal/Runtime/LightCookieManager.cs,516,// TODO: Better error system
Packages/com.unity.render-pipelines.universal/Runtime/StpUtils.cs,46,// TODO: Support STP Stencil Responsive Feature in URP (JIRA: GFXRT-366)
Packages/com.unity.render-pipelines.universal/Runtime/ForwardRendererData.cs,76,// TODO: move to core and share with HDRP
Packages/com.unity.render-pipelines.universal/Runtime/NativeRenderPass.cs,90,//TODO: edge cases to detect that should affect possible passes to merge
Packages/com.unity.render-pipelines.universal/Runtime/NativeRenderPass.cs,278,// TODO: this is redundant and is being setup for each attachment. Needs to be done only once per mergeable pass list (we need to make sure mergeable passes use the same depth!)
Packages/com.unity.render-pipelines.universal/Runtime/NativeRenderPass.cs,351,// TODO: this is redundant and is being setup for each attachment. Needs to be done only once per mergeable pass list (we need to make sure mergeable passes use the same depth!)
Packages/com.unity.render-pipelines.universal/Runtime/NativeRenderPass.cs,366,// resolving to the implicit color target's resolve surface TODO: handle m_CameraResolveTarget if present?
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,41,"[Obsolete(""Use Blitter.BlitCameraTexture instead of CommandBuffer.DrawMesh(fullscreenMesh, ...). #from(2022.2)"")]  // TODO OBSOLETE: need to fix the URP test failures when bumping"
Packages/com.unity.render-pipelines.universal/Runtime/RenderingUtils.cs,81,// TODO: For now disabling SSBO until figure out Vulkan binding issues.
