path,insertions,deletions,touches,churn
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Master/MasterNodeDataCollector.cs,7749,4724,4,12473
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Textures/SamplerNode.cs,7523,4604,4,12127
Assets/TextMesh Pro/Shaders/TMP_SDF-HDRP LIT.shadergraph,12074,0,1,12074
Assets/TextMesh Pro/Shaders/TMP_SDF-URP Lit.shadergraph,11932,0,1,11932
Assets/ThirdParty/AmplifyShaderEditor/Plugins/EditorResources/Templates/URP/Lit.shader,7920,3939,3,11859
Assets/TextMesh Pro/Shaders/TMP_SDF-HDRP UNLIT.shadergraph,11759,0,1,11759
Assets/TextMesh Pro/Shaders/TMP_SDF-URP Unlit.shadergraph,11629,0,1,11629
Assets/ThirdParty/AmplifyShaderEditor/Plugins/EditorResources/Templates/URP/Decal.shader,7574,3965,3,11539
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Utils/GeneratorUtils.cs,7238,3920,4,11158
Packages/com.unity.render-pipelines.universal/Shaders/Nature/SpeedTree8_PBRLit.shadergraph,10958,0,1,10958
Stats/file_inventory.csv,10458,0,1,10458
Stats/file_age.csv,10414,0,1,10414
Packages/nuget-packages/InstalledPackages/Scriban.6.2.1/lib/netstandard2.0/Scriban.xml,5125,5125,2,10250
Packages/com.unity.render-pipelines.universal/Shaders/Nature/SpeedTree9_URP.shadergraph,10140,0,1,10140
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Constants/PropertyNode.cs,6305,3819,4,10124
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/Misc/CustomExpressionNode.cs,6224,3751,4,9975
Assets/Plugins/FMOD/src/fmod.cs,8294,993,3,9287
Assets/Plugins/Sirenix/Assemblies/Sirenix.Utilities.xml,6535,2559,3,9094
Assets/ThirdParty/AmplifyShaderEditor/Plugins/EditorResources/Templates/URP/Unlit.shader,5912,2946,3,8858
Assets/Plugins/Demigiant/DOTween/DOTween.XML,6285,2440,2,8725
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Templates/TemplateMultiPass.cs,5306,2988,4,8294
Assets/ThirdParty/AmplifyShaderEditor/Plugins/Editor/Nodes/HelperFuncs/TriplanarNode.cs,5122,2993,4,8115
